Year,Subregion,Species_CD,Abundance,Relative Abundance ,Effort
2002,2,10,3,0.00022142,54
2002,3,10,0,0,32
2002,4,10,0,NaN,0
2003,1,10,0.5,7.77E-06,199
2003,2,10,0,0,22
2003,3,10,0,0,17
2003,4,10,0,NaN,0
2004,1,10,0,0,152
2004,2,10,0,NaN,0
2004,3,10,0,0,1
2004,4,10,7.5,6.22E-05,321
2005,1,10,3,7.58E-05,148
2005,2,10,3.5,0.00018486,42
2005,3,10,0,0,18
2005,4,10,0,NaN,0
2006,1,10,5,0.00010523,193
2006,2,10,0.5,2.24E-05,62
2006,3,10,0.5,7.44E-05,23
2006,4,10,22.5,0.00013537,262
2007,1,10,0.5,1.07E-05,181
2007,2,10,0,0,66
2007,3,10,0,0,38
2007,4,10,0,NaN,0
2008,1,10,0,0,221
2008,2,10,0,0,78
2008,3,10,0.5,4.57E-05,41
2008,4,10,8,2.79E-05,353
2009,1,10,2.5,2.67E-05,257
2009,2,10,6.5,0.00012887,107
2009,3,10,2,8.89E-05,55
2009,4,10,0,NaN,0
2010,1,10,0.5,9.21E-06,188
2010,2,10,10,0.00035099,68
2010,3,10,12,0.00080136,41
2010,4,10,2.5,1.49E-05,383
2011,1,10,5.5,8.07E-05,191
2011,2,10,6.5,0.00018905,82
2011,3,10,2.5,0.00014616,44
2011,4,10,0,NaN,0
2012,1,10,0,0,223
2012,2,10,8.5,0.00026621,81
2012,3,10,0.5,3.90E-05,28
2012,4,10,10,3.55E-05,421
2014,1,10,0,0,25
2014,2,10,0,0,43
2014,3,10,0,0,34
2014,4,10,15.5,4.67E-05,409
1999,1,11,0,0,44
1999,2,11,0,0,70
1999,3,11,0,0,34
1999,4,11,1202,0.016717,208
2000,1,11,0,0,90
2000,2,11,0.5,3.59E-05,33
2000,3,11,0,0,32
2000,4,11,11974,0.1428,194
2001,1,11,17000,0.19712,131
2001,2,11,1574.5,0.017512,51
2001,3,11,0,0,26
2001,4,11,0,NaN,0
2002,1,11,5005,0.087462,202
2002,2,11,500,0.036904,54
2002,3,11,0,0,32
2002,4,11,0,NaN,0
2003,1,11,5000,0.07768,199
2003,2,11,0,0,22
2003,3,11,0,0,17
2003,4,11,0,NaN,0
2004,1,11,87.5,0.0018131,152
2004,2,11,0,NaN,0
2004,3,11,0,0,1
2004,4,11,750,0.0062237,321
2005,1,11,1375,0.03472,148
2005,2,11,700,0.036972,42
2005,3,11,0,0,18
2005,4,11,0,NaN,0
2006,1,11,2500,0.052615,193
2006,2,11,0,0,62
2006,3,11,0,0,23
2006,4,11,0,0,262
2007,1,11,12.5,0.00026739,181
2007,2,11,0,0,66
2007,3,11,0,0,38
2007,4,11,0,NaN,0
2008,1,11,0,0,221
2008,2,11,0,0,78
2008,3,11,0,0,41
2008,4,11,1452.5,0.0050721,353
2009,1,11,900,0.0096178,257
2009,2,11,0,0,107
2009,3,11,0,0,55
2009,4,11,0,NaN,0
2010,1,11,0,0,188
2010,2,11,0,0,68
2010,3,11,0,0,41
2010,4,11,762.5,0.0045384,383
2011,1,11,5.5,8.07E-05,191
2011,2,11,400,0.011634,82
2011,3,11,0,0,44
2011,4,11,0,NaN,0
2012,1,11,1000,0.013985,223
2012,2,11,0,0,81
2012,3,11,0,0,28
2012,4,11,50,0.0001777,421
2014,1,11,0,0,25
2014,2,11,1900,0.097493,43
2014,3,11,0,0,34
2014,4,11,0,0,409
1999,1,12,0,0,44
1999,2,12,0,0,70
1999,3,12,0,0,34
1999,4,12,0,0,208
2000,1,12,0,0,90
2000,2,12,0,0,33
2000,3,12,0,0,32
2000,4,12,0,0,194
2001,1,12,0,0,131
2001,2,12,49525,0.55084,51
2001,3,12,0,0,26
2001,4,12,0,NaN,0
2002,1,12,22.5,0.00039319,202
2002,2,12,0,0,54
2002,3,12,10250,0.56404,32
2002,4,12,0,NaN,0
2003,1,12,5717.5,0.088827,199
2003,2,12,0,0,22
2003,3,12,0,0,17
2003,4,12,0,NaN,0
2004,1,12,5112.5,0.10594,152
2004,2,12,0,NaN,0
2004,3,12,0,0,1
2004,4,12,35,0.00029044,321
2005,1,12,0,0,148
2005,2,12,0,0,42
2005,3,12,0,0,18
2005,4,12,0,NaN,0
2006,1,12,0,0,193
2006,2,12,0,0,62
2006,3,12,0,0,23
2006,4,12,0,0,262
2007,1,12,0,0,181
2007,2,12,0,0,66
2007,3,12,0,0,38
2007,4,12,0,NaN,0
2008,1,12,0,0,221
2008,2,12,0,0,78
2008,3,12,0,0,41
2008,4,12,800,0.0027936,353
2009,1,12,0,0,257
2009,2,12,3550,0.070384,107
2009,3,12,0,0,55
2009,4,12,0,NaN,0
2010,1,12,0,0,188
2010,2,12,0,0,68
2010,3,12,50,0.003339,41
2010,4,12,0,0,383
2011,1,12,250,0.0036675,191
2011,2,12,1000,0.029085,82
2011,3,12,500,0.029233,44
2011,4,12,0,NaN,0
2012,1,12,25,0.00034962,223
2012,2,12,0,0,81
2012,3,12,300,0.023415,28
2012,4,12,0,0,421
2014,1,12,0,0,25
2014,2,12,0,0,43
2014,3,12,0,0,34
2014,4,12,0,0,409
1999,1,13,10.163,0.0010256,44
1999,2,13,11.5,0.00067519,70
1999,3,13,1.5,0.0001579,34
1999,4,13,14.5,0.00020166,208
2000,1,13,24.167,0.00092944,90
2000,2,13,16.5,0.0011844,33
2000,3,13,1.5,0.00016278,32
2000,4,13,8,9.54E-05,194
2001,1,13,66.5,0.0007711,131
2001,2,13,18.5,0.00020577,51
2001,3,13,6.5,0.00046263,26
2001,4,13,0,NaN,0
2002,1,13,69.33,0.0012115,202
2002,2,13,10,0.00073808,54
2002,3,13,2,0.00011006,32
2002,4,13,0,NaN,0
2003,1,13,141.5,0.0021984,199
2003,2,13,4.5,0.00044552,22
2003,3,13,1.5,0.0003352,17
2003,4,13,0,NaN,0
2004,1,13,35.5,0.00073562,152
2004,2,13,0,NaN,0
2004,3,13,0.5,0.0016234,1
2004,4,13,28,0.00023235,321
2005,1,13,47.5,0.0011994,148
2005,2,13,17.5,0.00092429,42
2005,3,13,2.5,0.00053926,18
2005,4,13,0,NaN,0
2006,1,13,47.666,0.0010032,193
2006,2,13,3.5,0.00015651,62
2006,3,13,0.5,7.44E-05,23
2006,4,13,9,5.41E-05,262
2007,1,13,32,0.00068452,181
2007,2,13,4.5,0.00022037,66
2007,3,13,0,0,38
2007,4,13,0,NaN,0
2008,1,13,72,0.001176,221
2008,2,13,20,0.00074233,78
2008,3,13,3,0.00027429,41
2008,4,13,21.5,7.51E-05,353
2009,1,13,74.5,0.00079614,257
2009,2,13,25,0.00049566,107
2009,3,13,2.5,0.0001111,55
2009,4,13,0,NaN,0
2010,1,13,48,0.00088442,188
2010,2,13,8.5,0.00029834,68
2010,3,13,1.5,0.00010017,41
2010,4,13,28.5,0.00016963,383
2011,1,13,71,0.0010416,191
2011,2,13,21.5,0.00062532,82
2011,3,13,4,0.00023386,44
2011,4,13,0,NaN,0
2012,1,13,65,0.00090901,223
2012,2,13,17.5,0.00054807,81
2012,3,13,1.5,0.00011707,28
2012,4,13,36.5,0.00012972,421
2014,1,13,3.5,0.00043377,25
2014,2,13,11.5,0.00059009,43
2014,3,13,0,0,34
2014,4,13,36.5,0.00010994,409
1999,1,14,0,0,44
1999,2,14,0,0,70
1999,3,14,0,0,34
1999,4,14,1.5,2.09E-05,208
2000,1,14,0.333,1.28E-05,90
2000,2,14,0.5,3.59E-05,33
2000,3,14,0,0,32
2000,4,14,1.5,1.79E-05,194
2001,1,14,2,2.32E-05,131
2001,2,14,3,3.34E-05,51
2001,3,14,0,0,26
2001,4,14,0,NaN,0
2002,1,14,1,1.75E-05,202
2002,2,14,0.5,3.69E-05,54
2002,3,14,1,5.50E-05,32
2002,4,14,0,NaN,0
2003,1,14,3,4.66E-05,199
2003,2,14,0,0,22
2003,3,14,0,0,17
2003,4,14,0,NaN,0
2004,1,14,2,4.14E-05,152
2004,2,14,0,NaN,0
2004,3,14,0,0,1
2004,4,14,2.5,2.07E-05,321
2005,1,14,0,0,148
2005,2,14,0.5,2.64E-05,42
2005,3,14,0,0,18
2005,4,14,0,NaN,0
2006,1,14,4,8.42E-05,193
2006,2,14,2,8.94E-05,62
2006,3,14,0,0,23
2006,4,14,1,6.02E-06,262
2007,1,14,2,4.28E-05,181
2007,2,14,0,0,66
2007,3,14,0,0,38
2007,4,14,0,NaN,0
2008,1,14,1.5,2.45E-05,221
2008,2,14,0.5,1.86E-05,78
2008,3,14,0,0,41
2008,4,14,1.5,5.24E-06,353
2009,1,14,9,9.62E-05,257
2009,2,14,1.5,2.97E-05,107
2009,3,14,0,0,55
2009,4,14,0,NaN,0
2010,1,14,0.5,9.21E-06,188
2010,2,14,1.5,5.26E-05,68
2010,3,14,0,0,41
2010,4,14,1.5,8.93E-06,383
2011,1,14,4,5.87E-05,191
2011,2,14,0.5,1.45E-05,82
2011,3,14,0,0,44
2011,4,14,0,NaN,0
2012,1,14,0.5,6.99E-06,223
2012,2,14,1,3.13E-05,81
2012,3,14,0,0,28
2012,4,14,0,0,421
2014,1,14,0,0,25
2014,2,14,0.5,2.57E-05,43
2014,3,14,0,0,34
2014,4,14,4,1.20E-05,409
1999,1,15,2.667,0.00026914,44
1999,2,15,5.5,0.00032292,70
1999,3,15,1,0.00010527,34
1999,4,15,4,5.56E-05,208
2000,1,15,8.667,0.00033332,90
2000,2,15,2,0.00014356,33
2000,3,15,1,0.00010852,32
2000,4,15,6,7.16E-05,194
2001,1,15,25,0.00028989,131
2001,2,15,6.5,7.23E-05,51
2001,3,15,1,7.12E-05,26
2001,4,15,0,NaN,0
2002,1,15,50.5,0.00088249,202
2002,2,15,6,0.00044285,54
2002,3,15,1,5.50E-05,32
2002,4,15,0,NaN,0
2003,1,15,25,0.0003884,199
2003,2,15,2,0.00019801,22
2003,3,15,0.5,0.00011173,17
2003,4,15,0,NaN,0
2004,1,15,15,0.00031082,152
2004,2,15,0,NaN,0
2004,3,15,0,0,1
2004,4,15,12.5,0.00010373,321
2005,1,15,45.5,0.0011489,148
2005,2,15,6,0.0003169,42
2005,3,15,0,0,18
2005,4,15,0,NaN,0
2006,1,15,21.5,0.00045249,193
2006,2,15,3,0.00013415,62
2006,3,15,0.5,7.44E-05,23
2006,4,15,4,2.41E-05,262
2007,1,15,17.5,0.00037435,181
2007,2,15,23,0.0011264,66
2007,3,15,1.5,0.00019737,38
2007,4,15,0,NaN,0
2008,1,15,14,0.00022866,221
2008,2,15,3.5,0.00012991,78
2008,3,15,2,0.00018286,41
2008,4,15,9,3.14E-05,353
2009,1,15,22.5,0.00024044,257
2009,2,15,14.5,0.00028749,107
2009,3,15,3,0.00013332,55
